"topic","course_name","level","price"
"Microsoft PowerBI","Data Analitik dengan Power BI","Basic",239271.00
"Microsoft PowerBI","Data Analitik dengan Power BI","Basic",239271.00
"Business Analysis","Tingkatkan Kemampuan di Pemodelan dan Teknik Analis Bisnis","Basic",239390.00
"Business Analysis","Tingkatkan Kemampuan di Pemodelan dan Teknik Analis Bisnis","Basic",239390.00
"Tableau","Eksplorasi Tableau Server dan Tableau Online untuk Para Analis Data","Basic",240776.00
"Tableau","Eksplorasi Tableau Server dan Tableau Online untuk Para Analis Data","Basic",240776.00
"Business Analysis","Fundamental Analis Bisnis","Basic",241332.00
"Business Analysis","Fundamental Analis Bisnis","Basic",241332.00
"Business Communication","Seni Storytelling dalam Komunikasi dan Presentasi","Basic",243082.00
"Business Communication","Seni Storytelling dalam Komunikasi dan Presentasi","Basic",243082.00
"Sales Skills","Tingkatkan Kemampuan Menjual dengan Value Product","Basic",243554.00
"Sales Skills","Tingkatkan Kemampuan Menjual dengan Value Product","Basic",243554.00
"Customer Service","Dasar-dasar Kemampuan Lunak dalam Customer Service","Basic",245275.00
"Customer Service","Dasar-dasar Kemampuan Lunak dalam Customer Service","Basic",245275.00
"Business Intelligence","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",245811.00
"Business Intelligence","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",245811.00
"Data Cleaning","Penerapan Teknik Data Cleaning di Sains Data Melalui Python","Basic",245986.00
"Data Cleaning","Penerapan Teknik Data Cleaning di Sains Data Melalui Python","Basic",245986.00
"Tableau","Visualisasi dan Analisis Data dengan Tableau Desktop","Basic",246398.00
"Tableau","Visualisasi dan Analisis Data dengan Tableau Desktop","Basic",246398.00
"Storytelling","Bagaimana Bercerita Menggunakan Data?","Basic",246415.00
"Storytelling","Bagaimana Bercerita Menggunakan Data?","Basic",246415.00
"HR Analytics","Analisis Data HR dengan Python","Basic",247272.00
"HR Analytics","Analisis Data HR dengan Python","Basic",247272.00
"SQL","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",247283.00
"SQL","Mempelajari Dasar MySQL untuk Business Intelligence","Basic",247283.00
"Communication Skills","Bagaimana cara berkomunikasi yang efektif?","Basic",247612.00
"Communication Skills","Bagaimana cara berkomunikasi yang efektif?","Basic",247612.00
"Public Speaking","Kunci Tampil dan Berbicara di Depan Publik sebagai Profesional","Basic",248231.00
"Public Speaking","Kunci Tampil dan Berbicara di Depan Publik sebagai Profesional","Basic",248231.00
"Recruiting","Optimalisasi Rekrut Pegawai Terbaik dengan Teknik Wawancara","Basic",248526.00
"Recruiting","Optimalisasi Rekrut Pegawai Terbaik dengan Teknik Wawancara","Basic",248526.00
"Presentation Skills","Presentasikan Hasilmu Secara Jelas, Powerful, dan Meyakinkan.","Basic",248785.00
"Presentation Skills","Presentasikan Hasilmu Secara Jelas, Powerful, dan Meyakinkan.","Basic",248785.00
"Microsoft PowerBI","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",250691.00
"Microsoft PowerBI","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",250691.00
"Data Warehouse","Pelajari Konsep Data Warehouse","Basic",251032.00
"Data Warehouse","Pelajari Konsep Data Warehouse","Basic",251032.00
"Business Intelligence","Business Intelligence dengan Microsoft Power BI Desktop ","Basic",251201.00
